indicative_duration,location,mo1_gender,gender_no,mo2_age,mo3_education,mo4_madrassa,mo5_monthly_income,mo6_local_influence,mo7_basis_for_local_influence,mo8_current_occupation,ms1_impact,ms2_size_of_bribe,ms3_type_of_abuse,ms4_service_with_worst_problem,pd,selected_cohort,stone_name,surveyor,latitude,longitude
11,Kabul PD11 - Prozhe Naw Abad,Female,1,26 - 35,Vocational training after Secondary / High School,No,"10,001 - 15,000 AFN",No,Community Leader,Police,Extreme impact,"10,000 Afs",Payment of money,Tashkera,PD11,32,Placeholder,Tablet 17 - Fatima (Kabul),34.54789228,69.11762683
20,Kabul PD11 - Prozhe Naw Abad Jadid,Female,1,26 - 35,Primary education,"Yes, some",I prefer not to say,Yes,Community Leader,Police,Extreme impact,"1,000 Afs",Payment of money,Filing a case with the courts,PD11,34,Placeholder,Tablet 16 - Humaira (Kabul),34.54731123,69.11589519
34,Kabul PD11 - Shahrak (212) Family,Female,1,46 - 55,I do not have any formal education,No,I prefer not to say,Yes,Religious Leader,"Mullah, Iman (or other religious leader)",Extreme impact,"10,000 Afs",Payment of money,District office to obtain official documentation such as land ownership,PD11,32,Placeholder,Tablet 16 - Humaira (Kabul),34.58069321,69.11143083
15,Kabul PD11 - Shahrak (212) Family,Female,1,Up to 25,Primary education,"Yes, on a regular basis",I prefer not to say,No,"Respected professional (e.g. Educational, Medical, Technical)",Provincial Official,Extreme impact,"100,000 Afs",Payment of money,Driver license,PD11,32,Placeholder,Tablet 16 - Humaira (Kabul),34.58069321,69.11143083
25,Kabul PD11 - Shahrak (212) Family,Female,1,26 - 35,Vocational training after Secondary / High School,"Yes, on a regular basis","15,001 - 20,000 AFN",Yes,Community Leader,District Official,Strong impact,"100,000 Afs",Payment of money,Obtaining a judgement,PD11,34,Placeholder,Tablet 16 - Humaira (Kabul),34.58069321,69.11143083
32,Kabul PD11 - Shahrak (212) Family,Female,1,Up to 25,Vocational training after Secondary / High School,"Yes, on a regular basis","20,001 - 25,000 AFN",Yes,"Respected professional (e.g. Educational, Medical, Technical)",Professional / Manager,Extreme impact,100 Afs,Payment of money,Tashkera,PD11,34,Placeholder,Tablet 16 - Humaira (Kabul),34.58069321,69.11143083
19,Kabul PD11 - Shahrak (212) Family,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,Religious Leader,"Unemployed, unpaid worker or retired",Strong impact,"1,000 Afs",Payment of money,Other,PD11,32,Placeholder,Tablet 17 - Fatima (Kabul),34.58036262,69.11133535
12,Kabul PD11 - Shahrak (212) Family,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,None of the above,"Unemployed, unpaid worker or retired",Strong impact,"10,000 Afs",Payment of money,Tashkera,PD11,32,Placeholder,Tablet 17 - Fatima (Kabul),34.58044731,69.11104941
24,Kabul PD11 - Shahrak (212) Family,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,None of the above,"Unemployed, unpaid worker or retired",Moderate impact,"1,000 Afs",Delay of service,Vehicle registration,PD11,33,Placeholder,Tablet 17 - Fatima (Kabul),34.58044731,69.11104941
36,Kabul PD11 - Shahrak (212) Family,Female,1,36 - 45,I do not have any formal education,"Yes, some",I prefer not to say,Yes,Religious Leader,Provincial Official,Strong impact,"1,000 Afs",Payment of money,Filing a case with the courts,PD11,32,Placeholder,Tablet 08 - Not assigned (Kabul),34.58072724,69.1104197
,Kabul PD11 - Shahrak (212) Family,Female,1,36 - 45,I do not have any formal education,No,I prefer not to say,Yes,Landowner (with paid workers or tenants),Police,Extreme impact,"1,000 Afs",Payment of money,Reporting a offence/crime to the police,PD11,32,Placeholder,Tablet 08 - Not assigned (Kabul),34.58072724,69.1104197
29,Kabul PD11 - Shahrak (212) Family,Female,1,36 - 45,University or post-graduate education,"Yes, some","10,001 - 15,000 AFN",Yes,Senior Officer in the Afghan Army or Afghan National Police,Provincial Official,Extreme impact,"10,000 Afs",Payment of money,Filing a case with the courts,PD11,34,Placeholder,Tablet 08 - Not assigned (Kabul),34.58072724,69.1104197
10,Kabul PD11 - Shahrak (212) Family,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,None of the above,"Unemployed, unpaid worker or retired",Strong impact,"10,000 Afs",Payment of money,Reporting a offence/crime to the police,PD11,32,Placeholder,Tablet 17 - Fatima (Kabul),34.58170169,69.11006379
62,Kabul PD11 - Sare Kotal Khair khana,Female,1,Up to 25,I do not have any formal education,"Yes, some",I prefer not to say,No,None of the above,Provincial Official,Almost no impact,"10,000 Afs",Payment of money,Tashkera,PD11,31,Placeholder,Tablet 08 - Not assigned (Kabul),34.58937278,69.08092944
8,Kabul PD11 - Sare Kotal Khair khana,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,Religious Leader,"Unemployed, unpaid worker or retired",Moderate impact,No payment made,Refusal of service,Other,PD11,33,Placeholder,Tablet 17 - Fatima (Kabul),34.58944846,69.08091747
11,Kabul PD11 - Sare Kotal Khair khana,Female,1,26 - 35,Primary education,No,I prefer not to say,No,"Respected professional (e.g. Educational, Medical, Technical)","Unemployed, unpaid worker or retired",Strong impact,"100,000 Afs",Payment of money,Other,PD11,32,Placeholder,Tablet 17 - Fatima (Kabul),34.58955694,69.08072856
20,Kabul PD11 - Sare Kotal Khair khana,Female,1,46 - 55,Secondary education / High School / Institute,"Yes, some",I prefer not to say,No,None of the above,Police,Almost no impact,"1,000 Afs",Payment of money,Tashkera,PD11,31,Placeholder,Tablet 08 - Not assigned (Kabul),34.5910085,69.07984835
8,Kabul PD11 - Sare Kotal Khair khana,Female,1,36 - 45,Primary education,No,"10,001 - 15,000 AFN",No,None of the above,Other,Strong impact,"1,000 Afs",Payment of money,Other,PD11,32,Placeholder,Tablet 07 - Shakira (Kabul),34.58945512,69.07842563
8,Kabul PD11 - Sare Kotal Khair khana,Female,1,36 - 45,I do not have any formal education,No,I prefer not to say,No,None of the above,Other,Extreme impact,No payment made,Delay of service,Filing a case with the courts,PD11,33,Placeholder,Tablet 07 - Shakira (Kabul),34.58945512,69.07842563
22,Kabul PD16 - Tapa Zakhel,Male,2,Up to 25,Primary education,No,"8001 - 10,000 AFN",No,None of the above,Other,Strong impact,"10,000 Afs",Payment of money,Other,PD16,31,Placeholder,Tablet 15 - Lutfullah (Kabul),34.5119101,69.3009769
11,Kabul PD11 - Hazara Baghal,Male,2,56 and older,University or post-graduate education,"Yes, some",I prefer not to say,No,Senior Officer in the Afghan Army or Afghan National Police,Provincial Official,Almost no impact,Larger,Payment of money,Tashkera,PD11,31,Placeholder,Tablet 08 - Not assigned (Kabul),34.48266945,69.29943996
11,Kabul PD16 - Alokhel,Male,2,56 and older,Primary education,"Yes, some",I prefer not to say,No,,"Unemployed, unpaid worker or retired",Strong impact,No payment made,Delay of service,Reporting a offence/crime to the police,PD16,33,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.52928272,69.27077845
47,Kabul PD16 - Alokhel,Male,2,26 - 35,I do not have any formal education,No,2000 - 4000 AFN,No,None of the above,Other,Strong impact,"1,000 Afs",Payment of money,Tashkera,PD16,31,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.5292866,69.27067897
39,Kabul PD16 - Alokhel,Male,2,36 - 45,Primary education,"Yes, some","8001 - 10,000 AFN",No,None of the above,Other,Strong impact,No payment made,Refusal of service,Reporting a offence/crime to the police,PD16,33,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.5292866,69.27067897
23,Kabul PD16 - Alokhel,Male,2,36 - 45,I do not have any formal education,No,4001 - 6000 AFN,No,,Other,Extreme impact,No payment made,Payment of money,Reporting a offence/crime to the police,PD16,31,Placeholder,Tablet 06 - Shahir Ahmad (Kabul),34.52933203,69.27056369
14,Kabul PD16 - Alokhel,Male,2,26 - 35,I do not have any formal education,"Yes, some","10,001 - 15,000 AFN",No,None of the above,Paid worker in any sector,Strong impact,"10,000 Afs",Payment of money,District office to obtain official documentation such as land ownership,PD16,32,Placeholder,Tablet 06 - Shahir Ahmad (Kabul),34.52933203,69.27056369
28,Kabul PD16 - Alokhel,Male,2,Up to 25,Secondary education / High School / Institute,"Yes, some","25,001 - 40,000 AFN",No,,Other,Almost no impact,No payment made,Other (please specify below),Tashkera,PD16,33,Placeholder,Tablet 06 - Shahir Ahmad (Kabul),34.52933203,69.27056369
,Kabul PD16 - Alokhel,Male,2,56 and older,University or post-graduate education,"Yes, some",2000 - 4000 AFN,No,None of the above,Other,Extreme impact,"1,000 Afs",Payment of money,Tashkera,PD16,31,Placeholder,Tablet 15 - Lutfullah (Kabul),34.52797649,69.26985772
25,Kabul PD16 - Alokhel,Male,2,36 - 45,Vocational training after Secondary / High School,No,I prefer not to say,No,None of the above,Professional / Manager,Extreme impact,"100,000 Afs",Payment of money,Obtaining a judgement,PD16,31,Placeholder,Tablet 15 - Lutfullah (Kabul),34.52797649,69.26985772
32,Kabul PD16 - Pol Pasha,Male,2,46 - 55,Primary education,No,6001 - 8000 AFN,No,None of the above,Other,Strong impact,"10,000 Afs",Payment of money,Filing a case with the courts,PD16,31,Placeholder,Tablet 15 - Lutfullah (Kabul),34.52861765,69.26982406
23,Kabul PD16 - Alokhel,Male,2,Up to 25,Secondary education / High School / Institute,"Yes, some",2000 - 4000 AFN,No,None of the above,Professional / Manager,Strong impact,"1,000,000 Afs",Payment of money,Reporting a offence/crime to the police,PD16,31,Placeholder,Tablet 15 - Lutfullah (Kabul),34.52861765,69.26982406
21,Kabul PD16 - Alokhel,Male,2,46 - 55,I do not have any formal education,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"1,000 Afs",Payment of money,Reporting a offence/crime to the police,PD16,31,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.53107934,69.26797906
26,Kabul PD16 - Alokhel,Male,2,46 - 55,Primary education,"Yes, some",I prefer not to say,No,None of the above,"Unemployed, unpaid worker or retired",Strong impact,"1,000 Afs",Payment of money,Reporting a offence/crime to the police,PD16,31,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.53107934,69.26797906
34,Kabul PD16 - Qala-e-Ahmad Khan,Male,2,26 - 35,Primary education,No,I prefer not to say,No,None of the above,"Unemployed, unpaid worker or retired",Extreme impact,"1,000 Afs",Payment of money,Tashkera,PD16,31,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.50513852,69.26564825
38,Kabul PD16 - Qala-e-Ahmad Khan,Male,2,Up to 25,University or post-graduate education,"Yes, some",6001 - 8000 AFN,No,None of the above,Member of Shura or CDC,Extreme impact,"10,000 Afs",Payment of money,Tashkera,PD16,31,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.50513852,69.26564825
17,Kabul PD16 - Qala-e-Ahmad Khan,Male,2,46 - 55,Secondary education / High School / Institute,"Yes, some",4001 - 6000 AFN,No,None of the above,Paid worker in any sector,Extreme impact,"10,000 Afs",Delay of service,Obtaining a judgement,PD16,31,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.50513852,69.26564825
56,Kabul PD16 - Qala-e-Ahmad Khan,Male,2,36 - 45,University or post-graduate education,"Yes, some",6001 - 8000 AFN,Yes,"Respected professional (e.g. Educational, Medical, Technical)",Other,Strong impact,"1,000 Afs",Payment of money,Reporting a offence/crime to the police,PD16,34,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.50513852,69.26564825
11,Kabul PD16 - Qala-e-Ahmad Khan,Male,2,Up to 25,University or post-graduate education,"Yes, some",6001 - 8000 AFN,No,None of the above,Professional / Manager,Extreme impact,"10,000 Afs",Payment of money,Other,PD16,31,Placeholder,Tablet 15 - Lutfullah (Kabul),34.50727686,69.2629865
29,Kabul PD16 - Qala-e-Ahmad Khan,Male,2,26 - 35,Secondary education / High School / Institute,"Yes, some",4001 - 6000 AFN,No,None of the above,Other,Extreme impact,"10,000 Afs",Payment of money,Other,PD16,31,Placeholder,Tablet 15 - Lutfullah (Kabul),34.50727686,69.2629865
39,Kabul PD16 - Qala-e-Ahmad Khan,Male,2,56 and older,Secondary education / High School / Institute,"Yes, some","15,001 - 20,000 AFN",No,None of the above,Soldier in the Afghan Army,Extreme impact,No payment made,Delay of service,Other,PD16,33,Placeholder,Tablet 15 - Lutfullah (Kabul),34.50727686,69.2629865
35,Kabul PD16 - Qala-e-Ahmad Khan,Male,2,Up to 25,University or post-graduate education,"Yes, on a regular basis","10,001 - 15,000 AFN",No,,Professional / Manager,Extreme impact,"10,000 Afs",Payment of money,Driver license,PD16,31,Placeholder,Tablet 13 - Mukhlis (Kabul),34.50678048,69.26245208
15,Kabul PD16 - Qala-e-Ahmad Khan,Male,2,Up to 25,Secondary education / High School / Institute,No,6001 - 8000 AFN,No,,Professional / Manager,Moderate impact,No payment made,Refusal of service,Reporting a offence/crime to the police,PD16,33,Placeholder,Tablet 13 - Mukhlis (Kabul),34.50678048,69.26245208
,Kabul PD16 - Qala-e-Shora,Male,2,56 and older,I do not have any formal education,No,I prefer not to say,No,,Other,Moderate impact,No payment made,Other (please specify below),Reporting a offence/crime to the police,PD16,33,Placeholder,Tablet 13 - Mukhlis (Kabul),34.50678048,69.26245208
17,Kabul PD16 - Qala-e-Ahmad Khan,Male,2,36 - 45,Primary education,No,"8001 - 10,000 AFN",No,,Other,Extreme impact,No payment made,Refusal of service,Reporting a offence/crime to the police,PD16,33,Placeholder,Tablet 13 - Mukhlis (Kabul),34.50678048,69.26245208
19,Kabul PD16 - Aqab Nasaji Bagrami,Male,2,36 - 45,Primary education,No,4001 - 6000 AFN,No,None of the above,Paid worker in any sector,Strong impact,"1,000 Afs",Payment of money,Tashkera,PD16,31,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.51182109,69.26051662
14,Kabul PD16 - Alokhel,Male,2,Up to 25,Primary education,"Yes, some","Less than 2,000 AFN",Yes,Selected or elected representative (past or present),Other,Extreme impact,Larger,Payment of money,Reporting a offence/crime to the police,PD16,34,Placeholder,Tablet 06 - Shahir Ahmad (Kabul),34.52764453,69.25858451
41,Kabul PD16 - Tapa Zakhel,Male,2,Up to 25,I prefer not to say,"Yes, on a regular basis",I prefer not to say,No,,Other,Strong impact,No payment made,Refusal of service,Other,PD16,,Placeholder,Tablet 20 - Shahbaz (Kabul),34.51545141,69.25395603
17,Kabul PD16 - Tapa Zakhel,Male,2,Up to 25,Secondary education / High School / Institute,No,"Less than 2,000 AFN",No,,Other,Moderate impact,100 Afs,Payment of money,Tashkera,PD16,31,Placeholder,Tablet 20 - Shahbaz (Kabul),34.51545141,69.25395603
44,Kabul PD16 - Tapa Zakhel,Male,2,Up to 25,Vocational training after Secondary / High School,"Yes, on a regular basis",I prefer not to say,No,,Other,Strong impact,100 Afs,Payment of money,Other,PD16,31,Placeholder,Tablet 20 - Shahbaz (Kabul),34.51545141,69.25395603
28,Kabul PD16 - Tapa Zakhel,Male,2,Up to 25,Secondary education / High School / Institute,No,I prefer not to say,No,,Professional / Manager,Extreme impact,"10,000 Afs",Delay of service,Reporting a offence/crime to the police,PD16,31,Placeholder,Tablet 20 - Shahbaz (Kabul),34.51545141,69.25395603
19,Kabul PD16 - Tapa Zakhel,Male,2,56 and older,Secondary education / High School / Institute,"Yes, some",I prefer not to say,No,None of the above,"Unemployed, unpaid worker or retired",Strong impact,"1,000 Afs",Payment of money,Tashkera,PD16,31,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.51537723,69.25371732
31,Kabul PD16 - Tapa Zakhel,Male,2,Up to 25,University or post-graduate education,"Yes, some","8001 - 10,000 AFN",No,"Respected professional (e.g. Educational, Medical, Technical)",Other,Strong impact,"1,000 Afs",Payment of money,Driver license,PD16,31,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.51537723,69.25371732
17,Kabul PD16 - Tapa Zakhel,Male,2,Up to 25,University or post-graduate education,"Yes, some",I prefer not to say,No,None of the above,Other,Strong impact,"10,000 Afs",Payment of money,Tashkera,PD16,31,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.51537723,69.25371732
24,Kabul PD16 - Tapa Zakhel,Male,2,46 - 55,Primary education,"Yes, some",I prefer not to say,No,None of the above,"Unemployed, unpaid worker or retired",Strong impact,"10,000 Afs",Payment of money,Obtaining a judgement,PD16,32,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.51537723,69.25371732
14,Kabul PD16 - Tapa Zakhel,Male,2,26 - 35,Primary education,"Yes, some","10,001 - 15,000 AFN",No,,"Unemployed, unpaid worker or retired",Strong impact,"1,000 Afs",Payment of money,Tashkera,PD16,32,Placeholder,Tablet 11 - Not assigned (Kabul),34.51606643,69.25300213
13,Kabul PD16 - Tapa Zakhel,Male,2,26 - 35,Vocational training after Secondary / High School,"Yes, some","15,001 - 20,000 AFN",No,,Professional / Manager,Strong impact,"10,000 Afs",Payment of money,District office to obtain official documentation such as land ownership,PD16,32,Placeholder,Tablet 11 - Not assigned (Kabul),34.51606643,69.25300213
22,Kabul PD16 - Tapa Zakhel,Male,2,46 - 55,Primary education,"Yes, on a regular basis",2000 - 4000 AFN,No,,Paid worker in any sector,Strong impact,"10,000 Afs",Payment of money,District office to obtain official documentation such as land ownership,PD16,32,Placeholder,Tablet 11 - Not assigned (Kabul),34.51606643,69.25300213
19,Kabul PD16 - Tapa Zakhel,Male,2,Up to 25,Secondary education / High School / Institute,"Yes, some","8001 - 10,000 AFN",No,None of the above,Other,Strong impact,"10,000 Afs",Payment of money,Other,PD16,31,Placeholder,Tablet 15 - Lutfullah (Kabul),34.51421709,69.25146968
34,Kabul PD16 - Tapa Zakhel,Male,2,46 - 55,I do not have any formal education,No,I prefer not to say,No,None of the above,Other,Extreme impact,"10,000 Afs",Payment of money,Other,PD16,31,Placeholder,Tablet 15 - Lutfullah (Kabul),34.51421709,69.25146968
12,Kabul PD16 - Aqab Nasaji Bagrami,Male,2,46 - 55,Vocational training after Secondary / High School,"Yes, on a regular basis",I prefer not to say,No,None of the above,Other,Strong impact,"100,000 Afs",Payment of money,Obtaining a judgement,PD16,31,Placeholder,Tablet 04 - Marwa (Kabul),34.51027824,69.24968753
14,Kabul PD16 - Aqab Nasaji Bagrami,Male,2,Up to 25,Secondary education / High School / Institute,"Yes, on a regular basis",6001 - 8000 AFN,No,None of the above,Other,Moderate impact,"10,000 Afs",Delay of service,Other,PD16,31,Placeholder,Tablet 04 - Marwa (Kabul),34.51037397,69.24935797
46,Kabul PD16 - Aqab Nasaji Bagrami,Male,2,Up to 25,Secondary education / High School / Institute,"Yes, some",6001 - 8000 AFN,No,None of the above,Other,Extreme impact,No payment made,Refusal of service,Other,PD16,33,Placeholder,Tablet 15 - Lutfullah (Kabul),34.5113616,69.24841551
25,Kabul PD16 - Aqab Nasaji Bagrami,Male,2,26 - 35,Primary education,No,I prefer not to say,No,None of the above,Paid worker in any sector,Extreme impact,"1,000 Afs",Payment of money,Other,PD16,31,Placeholder,Tablet 15 - Lutfullah (Kabul),34.50928052,69.24667119
57,Kabul PD16 - Aqab Nasaji Bagrami,Male,2,36 - 45,Secondary education / High School / Institute,"Yes, some",6001 - 8000 AFN,No,None of the above,Other,Extreme impact,"10,000 Afs",Payment of money,Obtaining a judgement,PD16,31,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.5082168,69.24503684
41,Kabul PD16 - Aqab Nasaji Bagrami,Male,2,36 - 45,Secondary education / High School / Institute,"Yes, some","8001 - 10,000 AFN",No,None of the above,Other,Extreme impact,"10,000 Afs",Payment of money,Obtaining a judgement,PD16,31,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.5082168,69.24503684
17,Kabul PD16 - Aqab Nasaji Bagrami,Male,2,36 - 45,Secondary education / High School / Institute,"Yes, on a regular basis",6001 - 8000 AFN,No,None of the above,Other,Extreme impact,"10,000 Afs",Payment of money,Obtaining a judgement,PD16,31,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.5082168,69.24503684
12,Kabul PD16 - Aqab Nasaji Bagrami,Male,2,46 - 55,I do not have any formal education,No,I prefer not to say,No,None of the above,"Unemployed, unpaid worker or retired",Extreme impact,"10,000 Afs",Payment of money,Obtaining a judgement,PD16,31,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.5082168,69.24503684
24,Kabul PD16 - Aqab Nasaji Bagrami,Male,2,Up to 25,Secondary education / High School / Institute,No,6001 - 8000 AFN,No,,Other,Moderate impact,No payment made,Delay of service,Reporting a offence/crime to the police,PD16,33,Placeholder,Tablet 13 - Mukhlis (Kabul),34.5081341,69.24491809
,Kabul PD16 - Qala-e-Ahmad Khan,Male,2,36 - 45,Secondary education / High School / Institute,"Yes, some",6001 - 8000 AFN,No,,Other,Strong impact,No payment made,Delay of service,Reporting a offence/crime to the police,PD16,33,Placeholder,Tablet 13 - Mukhlis (Kabul),34.5081341,69.24491809
17,Kabul PD16 - Aqab Nasaji Bagrami,Male,2,36 - 45,University or post-graduate education,"Yes, some",I prefer not to say,No,,Other,Strong impact,No payment made,Refusal of service,Reporting a offence/crime to the police,PD16,33,Placeholder,Tablet 13 - Mukhlis (Kabul),34.5081341,69.24491809
28,Kabul PD16 - Aqab Nasaji Bagrami,Male,2,46 - 55,Secondary education / High School / Institute,No,4001 - 6000 AFN,No,,Other,Extreme impact,No payment made,Delay of service,Obtaining a judgement,PD16,33,Placeholder,Tablet 13 - Mukhlis (Kabul),34.5081341,69.24491809
16,Kabul PD16 - Aqab Nasaji Bagrami,Male,2,26 - 35,Secondary education / High School / Institute,No,"8001 - 10,000 AFN",No,None of the above,Other,Extreme impact,No payment made,Refusal of service,Reporting a offence/crime to the police,PD16,33,Placeholder,Tablet 13 - Mukhlis (Kabul),34.5081341,69.24491809
39,Kabul PD16 - Aqab Nasaji Bagrami,Male,2,56 and older,Primary education,"Yes, some",I prefer not to say,No,None of the above,"Unemployed, unpaid worker or retired",Extreme impact,"1,000 Afs",Payment of money,Filing a case with the courts,PD16,31,Placeholder,Tablet 15 - Lutfullah (Kabul),34.50804218,69.24469658
28,Kabul PD16 - Aqab Nasaji Bagrami,Male,2,Up to 25,Primary education,"Yes, some",6001 - 8000 AFN,No,None of the above,Other,Extreme impact,"10,000 Afs",Payment of money,Other,PD16,31,Placeholder,Tablet 15 - Lutfullah (Kabul),34.50804218,69.24469658
24,Kabul PD16 - Shahrak Khurasan,Male,2,36 - 45,Secondary education / High School / Institute,"Yes, some",2000 - 4000 AFN,No,None of the above,Paid worker in any sector,Strong impact,"1,000 Afs",Payment of money,Tashkera,PD16,31,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.51825224,69.24355162
37,Kabul PD16 - Shahrak Khurasan,Male,2,56 and older,Primary education,"Yes, some",I prefer not to say,No,None of the above,Paid worker in any sector,Strong impact,"10,000 Afs",Payment of money,Obtaining a judgement,PD16,31,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.51825224,69.24355162
16,Kabul PD16 - Shahrak Khurasan,Male,2,46 - 55,Secondary education / High School / Institute,"Yes, some",I prefer not to say,No,None of the above,Other,Extreme impact,"10,000 Afs",Payment of money,Obtaining a judgement,PD16,31,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.51825224,69.24355162
29,Kabul PD16 - Shahrak Khurasan,Male,2,46 - 55,I do not have any formal education,"Yes, some",6001 - 8000 AFN,No,None of the above,Paid worker in any sector,Extreme impact,"10,000 Afs",Payment of money,Obtaining a judgement,PD16,31,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.52127367,69.23912947
15,Kabul PD16 - Tapa Zakhel,Male,2,Up to 25,Primary education,No,I prefer not to say,No,None of the above,"Unemployed, unpaid worker or retired",Extreme impact,No payment made,Request for breakfast,Other,PD16,33,Placeholder,Tablet 15 - Lutfullah (Kabul),34.533652,69.234672
46,Kabul PD16 - Shahrak Khurasan,Male,2,56 and older,Vocational training after Secondary / High School,"Yes, on a regular basis",I prefer not to say,No,"Respected professional (e.g. Educational, Medical, Technical)",Professional / Manager,Extreme impact,"10,000 Afs",Payment of money,Other,PD16,31,Placeholder,Tablet 15 - Lutfullah (Kabul),34.52371616,69.23321917
29,Kabul PD16 - Shahrak Khurasan,Male,2,Up to 25,Secondary education / High School / Institute,"Yes, some","8001 - 10,000 AFN",No,None of the above,Other,Extreme impact,"100,000 Afs",Payment of money,Other,PD16,31,Placeholder,Tablet 15 - Lutfullah (Kabul),34.52371616,69.23321917
17,Kabul PD16 - Shahrak Khurasan,Male,2,36 - 45,Primary education,"Yes, some","15,001 - 20,000 AFN",No,None of the above,Other,Extreme impact,"100,000 Afs",Payment of money,Other,PD16,31,Placeholder,Tablet 15 - Lutfullah (Kabul),34.52371616,69.23321917
25,Kabul PD16 - Shahrak Khurasan,Male,2,46 - 55,Primary education,"Yes, some",I prefer not to say,Yes,Religious Leader,Member of Shura or CDC,Extreme impact,"10,000 Afs",Payment of money,Filing a case with the courts,PD16,34,Placeholder,Tablet 15 - Lutfullah (Kabul),34.52371616,69.23321917
31,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Male,2,36 - 45,Secondary education / High School / Institute,"Yes, some",6001 - 8000 AFN,No,None of the above,Paid worker in any sector,Moderate impact,"10,000 Afs",Delay of service,Reporting a offence/crime to the police,PD16,31,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.52593174,69.22853965
11,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Male,2,46 - 55,Primary education,No,4001 - 6000 AFN,No,None of the above,Paid worker in any sector,Extreme impact,"10,000 Afs",Payment of money,Reporting a offence/crime to the police,PD16,31,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.52593174,69.22853965
16,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Male,2,36 - 45,Secondary education / High School / Institute,"Yes, some",6001 - 8000 AFN,No,None of the above,Other,Extreme impact,"100,000 Afs",Payment of money,Obtaining a judgement,PD16,32,Placeholder,Tablet 12 - Abdul Wasi (Kabul),34.52593174,69.22853965
26,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Male,2,26 - 35,Secondary education / High School / Institute,No,"15,001 - 20,000 AFN",No,,Other,Moderate impact,No payment made,Other (please specify below),Reporting a offence/crime to the police,PD16,33,Placeholder,Tablet 13 - Mukhlis (Kabul),34.52637176,69.22759584
54,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Male,2,56 and older,Secondary education / High School / Institute,No,6001 - 8000 AFN,No,,Other,Strong impact,No payment made,Refusal of service,Other,PD16,33,Placeholder,Tablet 13 - Mukhlis (Kabul),34.52637176,69.22759584
26,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Male,2,46 - 55,Secondary education / High School / Institute,"Yes, some",6001 - 8000 AFN,No,,Other,Extreme impact,No payment made,Delay of service,Reporting a offence/crime to the police,PD16,33,Placeholder,Tablet 13 - Mukhlis (Kabul),34.52637176,69.22759584
19,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Male,2,56 and older,Primary education,No,6001 - 8000 AFN,No,,Professional / Manager,Extreme impact,No payment made,Delay of service,Reporting a offence/crime to the police,PD16,33,Placeholder,Tablet 13 - Mukhlis (Kabul),34.52637176,69.22759584
32,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Male,2,26 - 35,Secondary education / High School / Institute,"Yes, some",4001 - 6000 AFN,No,None of the above,Other,Extreme impact,No payment made,Threat of incarceration,Other,PD16,33,Placeholder,Tablet 15 - Lutfullah (Kabul),34.52644328,69.22758877
21,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Male,2,56 and older,Primary education,"Yes, some",2000 - 4000 AFN,No,None of the above,Paid worker in any sector,Extreme impact,No payment made,Threat of incarceration,Other,PD16,33,Placeholder,Tablet 15 - Lutfullah (Kabul),34.52644328,69.22758877
